"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"72",72,2023,"SE","FT","DevSecOps Engineer",110000,"USD",110000,"US",0,"US","M"
"73",73,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"74",74,2023,"SE","FT","Security Engineer",111600,"USD",111600,"US",0,"US","L"
"75",75,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"76",76,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"77",77,2023,"MI","FT","Compliance Manager",183370,"USD",183370,"US",100,"US","M"
"78",78,2023,"MI","FT","Compliance Manager",87220,"USD",87220,"US",100,"US","M"
"79",79,2023,"MI","FT","Privacy Manager",185000,"USD",185000,"US",0,"US","M"
"80",80,2023,"MI","FT","Privacy Manager",94700,"USD",94700,"US",0,"US","M"
"81",81,2023,"EX","FT","Information Security Officer",362560,"USD",362560,"US",0,"US","M"
"82",82,2023,"EX","FT","Information Security Officer",186320,"USD",186320,"US",0,"US","M"
"83",83,2023,"MI","FT","Security Operations Analyst",150300,"USD",150300,"US",0,"US","L"
"84",84,2023,"MI","FT","Security Operations Analyst",59800,"USD",59800,"US",0,"US","L"
"85",85,2023,"SE","FT","Security Engineer",229500,"USD",229500,"US",0,"US","M"
"86",86,2023,"SE","FT","Security Engineer",183500,"USD",183500,"US",0,"US","M"
"87",87,2023,"SE","FT","Security Engineer",190000,"USD",190000,"US",100,"US","M"
"88",88,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",100,"US","M"
"89",89,2023,"SE","FT","Security Engineer",198000,"USD",198000,"US",100,"US","M"
"90",90,2023,"SE","FT","Security Engineer",149000,"USD",149000,"US",100,"US","M"
"91",91,2023,"MI","FT","Security Engineer",285000,"USD",285000,"AU",0,"AU","M"
"92",92,2023,"MI","FT","Security Engineer",230000,"USD",230000,"AU",0,"AU","M"
"93",93,2023,"SE","FT","Security Engineer",206000,"USD",206000,"US",100,"US","M"
"94",94,2023,"SE","FT","Security Engineer",175100,"USD",175100,"US",100,"US","M"
"95",95,2023,"SE","FT","Security Researcher",235400,"USD",235400,"US",0,"US","M"
"96",96,2023,"SE","FT","Security Researcher",145500,"USD",145500,"US",0,"US","M"
"97",97,2023,"SE","FT","Security Analyst",97000,"USD",97000,"US",0,"US","M"
"98",98,2023,"SE","FT","Security Analyst",65000,"USD",65000,"US",0,"US","M"
"99",99,2023,"SE","FT","Security Engineer",252500,"USD",252500,"CA",100,"CA","M"
"100",100,2023,"SE","FT","Security Engineer",252500,"USD",252500,"CA",100,"CA","M"
"101",101,2023,"SE","FT","Cyber Engineer",186000,"USD",186000,"US",0,"US","M"
"102",102,2023,"SE","FT","Cyber Engineer",81800,"USD",81800,"US",0,"US","M"
"103",103,2023,"MI","FT","DevSecOps Engineer",133000,"USD",133000,"US",0,"US","M"
"104",104,2023,"MI","FT","DevSecOps Engineer",58400,"USD",58400,"US",0,"US","M"
"105",105,2023,"SE","FT","Security Engineer",170000,"USD",170000,"US",0,"US","M"
"106",106,2023,"SE","FT","Security Engineer",105000,"USD",105000,"US",0,"US","M"
"107",107,2023,"SE","FT","Security Engineer",221950,"USD",221950,"US",0,"US","M"
"108",108,2023,"SE","FT","Security Engineer",136850,"USD",136850,"US",0,"US","M"
"109",109,2023,"EX","FT","Information Security Officer",300000,"USD",300000,"US",0,"US","M"
"110",110,2023,"EX","FT","Information Security Officer",250000,"USD",250000,"US",0,"US","M"
"111",111,2023,"SE","FT","Professional Services Consultant",180500,"USD",180500,"US",0,"US","M"
"112",112,2023,"SE","FT","Professional Services Consultant",131300,"USD",131300,"US",0,"US","M"
"113",113,2023,"SE","FT","Security Architect",180500,"USD",180500,"US",0,"US","M"
"114",114,2023,"SE","FT","Security Architect",131300,"USD",131300,"US",0,"US","M"
"115",115,2023,"SE","FT","Cyber Security Manager",3600000,"INR",43779,"IN",100,"IN","L"
"116",116,2023,"MI","FT","Compliance Analyst",112875,"USD",112875,"US",0,"US","M"
"117",117,2023,"MI","FT","Compliance Analyst",60795,"USD",60795,"US",0,"US","M"
"118",118,2023,"SE","FT","Compliance Analyst",167300,"USD",167300,"US",100,"US","M"
"119",119,2023,"SE","FT","Compliance Analyst",104700,"USD",104700,"US",100,"US","M"
"120",120,2023,"SE","FT","Security Researcher",100000,"USD",100000,"US",100,"US","M"
"121",121,2023,"SE","FT","Security Researcher",60000,"USD",60000,"US",100,"US","M"
"122",122,2023,"SE","FT","Compliance Specialist",150000,"USD",150000,"US",100,"US","M"
"123",123,2023,"SE","FT","Compliance Specialist",90000,"USD",90000,"US",100,"US","M"
"124",124,2023,"SE","FT","Security Researcher",150000,"USD",150000,"US",100,"US","M"
"125",125,2023,"SE","FT","Security Researcher",90000,"USD",90000,"US",100,"US","M"
"126",126,2023,"SE","FT","Security Researcher",247500,"USD",247500,"US",0,"US","M"
"127",127,2023,"SE","FT","Security Researcher",153000,"USD",153000,"US",0,"US","M"
"128",128,2023,"MI","FT","Security Researcher",120000,"USD",120000,"US",100,"US","M"
"129",129,2023,"MI","FT","Security Researcher",80000,"USD",80000,"US",100,"US","M"
"130",130,2023,"SE","FT","Security Engineer",239139,"USD",239139,"US",0,"US","M"
"131",131,2023,"SE","FT","Security Engineer",115910,"USD",115910,"US",0,"US","M"
"132",132,2023,"EX","FT","Security Engineer",340000,"USD",340000,"US",0,"US","M"
"133",133,2023,"EX","FT","Security Engineer",272000,"USD",272000,"US",0,"US","M"
"134",134,2023,"SE","FT","Security Engineer",150000,"USD",150000,"US",100,"US","M"
"135",135,2023,"SE","FT","Security Engineer",135000,"USD",135000,"US",100,"US","M"
"136",136,2023,"SE","FT","Security Engineer",290970,"USD",290970,"US",0,"US","M"
"137",137,2023,"SE","FT","Security Engineer",166230,"USD",166230,"US",0,"US","M"
"138",138,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"139",139,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"140",140,2023,"SE","FT","SOC Analyst",120000,"USD",120000,"US",100,"US","M"
"141",141,2023,"SE","FT","SOC Analyst",95000,"USD",95000,"US",100,"US","M"
"142",142,2023,"MI","FT","Privacy Manager",185000,"USD",185000,"US",0,"US","L"
"143",143,2023,"MI","FT","Privacy Manager",94700,"USD",94700,"US",0,"US","L"
"144",144,2023,"SE","FT","Security Engineer",165759,"USD",165759,"US",0,"US","M"
